Voltage(V)	Runtime
8.33		1051
8.33		1167
8.33		1284
8.33		1400
8.33		1517
8.33		1633
8.33		1750
8.30		1865
8.30		1982
8.30		2099
8.30		2215
8.89		2331
8.54		2448
8.59		2564
8.45		2680
8.47		2797
8.45		2914
8.45		3030
8.42		3146
8.42		3262
8.42		3379
8.42		3495
8.42		3611
8.40		3728
8.40		3845
8.40		3960
8.40		4077
8.40		4194
8.40		4310
8.40		4426
8.40		4543
8.40		4659
8.40		4775
8.37		4892
8.37		5008
8.40		5125
8.37		5241
8.37		5357
8.37		5474
8.40		5591
8.40		5706
8.40		5823
8.40		5937
8.40		6053
8.40		6170
8.40		6286
8.40		6403
8.40		6519
8.40		6635
8.40		6752
8.40		6867
8.40		6984
8.40		7101
8.37		7217
8.37		7333
8.37		7449
8.37		7566
8.37		7683
8.37		7798
8.37		7915
8.37		8032
8.37		8147
8.37		8264
8.37		8381
8.37		8497
8.37		8613
8.37		8729
8.37		8846
8.37		8963
8.37		9078
8.37		9195
8.37		9312
8.37		9427
8.37		9544
8.37		9660
8.37		9777
8.37		9893
8.37		10009
8.37		10126
8.40		10243
8.37		10358
8.37		10475
8.37		10592
8.37		10708
8.40		10827
8.40		10943
8.37		11060
8.37		11176
8.37		11293
8.37		11409
8.37		11526
8.37		11641
8.37		11758
8.37		11875
8.37		11992
8.37		12107
8.37		12224
8.37		12341
8.37		12457
8.37		12573
8.37		12690
8.37		12807
8.37		12922
8.37		13039
8.37		13156
8.37		13273
8.37		13388
8.37		13505
8.37		13621
8.37		13737
8.37		13854
8.37		13971
8.37		14087
8.37		14203
8.37		14320
8.37		14436
8.37		14553
8.37		14669
8.37		14786
8.37		14902
8.37		15019
8.37		15135
8.37		15251
8.37		15371
8.37		15486
8.37		15603
8.37		15720
8.37		15836
8.37		15952
8.37		16069
8.37		16186
8.37		16302
8.37		16418
8.37		16535
8.37		16651
8.37		16768
8.37		16884
8.37		17000
8.37		17117
8.37		17233
8.37		17350
8.37		17466
8.37		17583
8.37		17699
8.37		17815
8.37		17932
8.37		18049
8.37		18165
8.37		18281
8.37		18398
8.37		18514
8.37		18630
8.37		18747
8.37		18864
8.37		18979
8.37		19096
8.37		19213
8.37		19329
8.37		19445
8.37		19562
8.37		19679
8.40		19794
8.37		19914
8.37		20031
8.37		20147
8.37		20263
8.40		20380
8.40		20496
8.37		20613
8.40		20729
8.37		20845
8.40		20962
8.40		21079
8.37		21194
8.40		21311
8.37		21428
8.40		21544
8.37		21660
8.40		21777
8.40		21893
8.40		22009
8.37		22126
8.37		22243
8.37		22359
8.37		22475
8.37		22592
8.37		22708
8.37		22824
8.37		22941
8.37		23058
8.37		23174
8.37		23290
8.37		23407
8.37		23524
8.37		23640
8.37		23756
8.37		23872
8.37		23989
8.37		24105
8.37		24222
8.37		24338
8.37		24455
8.37		24573
8.37		24690
8.37		24807
8.37		24924
8.37		25039
8.37		25156
8.37		25273
8.37		25389
8.37		25505
8.37		25622
8.37		25738
8.37		25854
8.37		25971
8.37		26087
8.37		26204
8.37		26320
8.37		26437
8.37		26553
8.37		26670
8.37		26786
8.37		26902
8.37		27019
8.37		27136
8.37		27252
8.37		27368
8.37		27485
8.37		27600
8.37		27718
8.37		27834
8.37		27951
8.37		28066
8.37		28183
8.37		28300
8.37		28417
8.37		28532
8.37		28649
8.37		28766
8.37		28881
8.37		28998
8.37		29118
8.37		29234
8.37		29350
8.37		29467
8.37		29583
8.37		29700
8.37		29816
8.37		29932
8.37		30049
8.37		30166
8.37		30281
8.37		30398
8.40		30515
8.37		30631
8.40		30747
8.37		30864
8.37		30981
8.37		31097
8.37		31213
8.37		31330
8.37		31447
8.37		31562
8.37		31679
8.37		31796
8.37		31912
8.37		32028
8.37		32145
8.37		32261
8.37		32377
8.37		32494
8.37		32611
8.37		32727
8.37		32843
8.37		32960
8.37		33076
8.37		33192
8.37		33309
8.37		33426
8.37		33542
8.37		33658
8.37		33777
8.37		33894
8.37		34011
8.37		34126
8.37		34243
8.37		34360
8.37		34476
8.37		34592
8.37		34709
8.37		34826
8.37		34941
8.37		35058
8.37		35175
8.37		35292
8.37		35407
8.37		35524
8.37		35641
8.37		35757
8.37		35873
8.37		35990
8.37		36107
8.37		36222
8.37		36339
8.37		36455
8.37		36572
8.37		36688
8.37		36805
8.37		36921
8.37		37038
8.37		37154
8.37		37270
8.37		37387
8.37		37504
8.37		37620
8.37		37736
8.37		37853
8.37		37969
8.37		38086
8.37		38202
8.37		38321
8.37		38437
8.37		38554
8.37		38671
8.37		38787
8.37		38903
8.37		39020
8.37		39136
8.37		39252
8.37		39369
8.37		39486
8.37		39602
8.37		39718
8.37		39835
8.37		39951
8.37		40068
8.37		40184
8.37		40301
8.37		40417
8.37		40534
8.37		40650
8.37		40767
8.37		40883
8.37		40999
8.37		41116
8.37		41232
8.37		41349
8.37		41465
8.37		41582
8.37		41698
8.37		41815
8.37		41931
8.37		42047
8.37		42164
8.37		42280
8.37		42396
8.37		42513
8.37		42630
8.37		42745
8.37		42865
8.37		42982
8.37		43098
8.37		43214
8.37		43331
8.37		43447
8.37		43564
8.37		43680
8.37		43796
8.37		43913
8.37		44029
8.37		44145
8.37		44262
8.37		44379
8.37		44495
8.37		44611
8.37		44728
8.37		44845
8.37		44961
8.37		45077
8.37		45194
8.37		45310
8.37		45426
8.37		45543
8.37		45660
8.37		45776
8.37		45892
8.37		46009
8.37		46125
8.37		46241
8.37		46358
8.37		46475
8.37		46590
8.37		46707
8.37		46824
8.37		46940
8.37		47056
8.37		47173
8.40		47290
8.40		47406
8.37		47525
8.40		47642
8.37		47758
8.40		47875
8.40		47990
8.40		48107
8.40		48224
8.40		48340
8.40		48456
8.40		48573
8.40		48690
8.40		48805
8.40		48922
8.40		49039
8.40		49156
8.40		49271
8.40		49388
8.40		49504
8.40		49620
8.40		49737
8.40		49854
8.40		49970
8.40		50086
8.40		50203
8.40		50319
8.37		50436
8.37		50552
8.37		50668
8.40		50785
8.37		50902
8.37		51017
8.37		51134
8.37		51251
8.37		51367
8.37		51483
8.37		51600
8.40		51717
8.37		51833
8.37		51949
8.37		52068
8.37		52185
8.37		52301
8.37		52417
8.37		52534
8.37		52651
8.37		52767
8.40		52883
8.37		53000
8.37		53116
8.37		53233
8.37		53349
8.37		53466
8.37		53582
8.40		53698
8.37		53815
